Instrument;ISIN;WKN;Mnemonic;Ticker
AIS-A.IN.MSCI E.M.UCETFDD;LU1737652583;000A2H9Q0;AEMD;AEMD.DE
AIS-AM.I.FTSE E.N.G.UEUD;LU1737652823;000A2H9Q1;10AJ;10AJ.DE
AIS-AM.I.JPM G.GBI G.UEUD;LU1737653631;000A2H9Q3;10AK;
AIS-A.EURO GOV.BOND UEDD;LU1737653714;000A2H9Q4;10AL;10AL.DE
AIS-A.IDX EO C.SRI UETFDD;LU1737653987;000A2H9Q5;DECR;
AIS-A.GL.AGG.BD UEDED;LU1737654019;000A2H9Q6;10AM;10AM.DE
M.A.-STOX.CH.A.MI.V.I.CEO;LU1750178011;000A2JHE8;M9SV;M9SV.DE
BNPPE-M.EUR.SRI SS5 CAP;LU1753045332;000A2PFV1;ASRR;SRIEC.PA
BNPPE-M.EUR.SRI SS5 DIS;LU1753045415;000A2JFSU;ZSRI;ZSRI.DE
BNPPE-M.JAP.SRI SS5 UETFC;LU1753045845;000A2PGAK;QUEJ;SRIJC.PA
BNPPE-M.JAP.SRI SS5 UETFD;LU1753045928;000A2JFSV;JSRI;SRIJ.MI
XTR.STOXX EUR.600 2C EO H;LU1772333404;000DBX0QN;XSXE;XSXE.DE
SPOTIFY TECH. S.A.  EUR 1;LU1778762911;000A2JEGN;639;SPOT
MUL-LYX.CORE US EQ.DR D;LU1781540957;000LYX0YB;LCUS;LCUD.L
LX.IF-A.UK.EQ.A.C. D;LU1781541096;000LYX0YA;LCUK;LCUK.L
MUL-AM.MSCI JPN ETF YNA;LU1781541252;000LYX0YC;LCUJ;LCJP.AS
AIS-A.MSCIEMASIAESGCTBUEA;LU1781541849;000LYX0YF;LCUA;LCAS.L
UBSLFS-MSCI EMU SFM AEOA;LU1804202403;000A2JKF5;UIQN;
UBSLFS-BB MSCI EO1-5 ADEO;LU1805389258;000A2JLRU;UIQL;E15S.MI
A-A.I.US C. UC.ETFDR DLAC;LU1806495575;000A2JH17;UCRP;LU1806495575.SG
AIS-AMU E HY CRB ESG ETFD;LU1812090543;000LYX0YX;LYQY;YIEL.L
AIS-A.FTSE EPRAEORE UEEOD;LU1812091194;000LYX0Y0;LEEU;
AIS-AM SE DIV30 ETFD;LU1812092168;000LYX0Y9;SELD;SEL.PA
MUL-AM.B.E-W.C.XA ETF EOA;LU1829218749;000LYX0Z2;LYTR;COMO.PA
MUL AMUN COR BOND;LU1829219127;000LYX0Z4;LYEB;CRPX.L
MUL AMUN EST BANK ETF ACC;LU1829219390;000LYX0Z5;LYBK;BNKE.PA
MUL AMUNHR GOV1-3 ETF ACC;LU1829219556;000LYX0Z6;LYS4;MA13.PA
MUL AMUNHR GOV3-5 ETF ACC;LU1829219713;000LYX0Z7;LYS5;MA35.PA
MUL AMUN ACWLD ETF E ACC;LU1829220216;000LYX00C;LYY0;ACWI.PA
MUL AMUN NASDAQ II ETF A;LU1829221024;000LYX00F;LYMS;UST.PA
AIS AM NAREIT U.ETF D;LU1832418773;000LYX0Y2;LMWE;LMWE.DE
MUL-AMUN ST600 BANK ETF A;LU1834983477;000LYX01W;LBNK;BNK.PA
