Instrument;ISIN;WKN;Mnemonic;Ticker
STRABAG SE;AT000000STR1;000A0M23V;XD4;STR.VI
FACC AG INH.AKT.;AT00000FACC2;000A1147K;1FC;FACC.VI
RAIFFEISEN BK INTL INH.;AT0000606306;000A0D9SU;RAW;RBI.VI
PORR AG;AT0000609607;000850185;ABS2;POS.VI
LENZING AG;AT0000644505;000852927;LEN;LNZ.VI
ERSTE GROUP BNK INH. O.N.;AT0000652011;000909943;EBO;EBS.VI
TELEKOM AUSTRIA AG;AT0000720008;000588811;TA1;TKA.VI
ANDRITZ AG;AT0000730007;000632305;AZ2;ANDR.VI
OMV AG;AT0000743059;000874341;OMV;OMV.VI
VERBUND AG       INH. A;AT0000746409;000877738;OEWA;VER.VI
FABASOFT AG;AT0000785407;000922985;FAA;FAA.DE
SEMPERIT AG HLDG;AT0000785555;000870378;SEW;SEM.VI
UNIQA INSURANCE GROUP AG;AT0000821103;000928900;UN9;UQA.VI
WIENERBERGER;AT0000831706;000852894;WIB;WIE.VI
ZUMTOBEL GROUP AG INH. A;AT0000837307;000A0JLPR;T9Z;ZAG.VI
ROSENBAUER INTL;AT0000922554;000892502;ROI;ROS.VI
VOESTALPINE AG;AT0000937503;000897200;VAS;VOE.VI
MAYR-MELNHOF KARTON;AT0000938204;000890447;MYM;MMK.VI
SCHOELLER-BLECKMANN OILF.;AT0000946652;000907391;SLL;SBO.VI
AT+S AUSTR.T.+SYSTEMT.;AT0000969985;000922230;AUS;ATS.VI
POLYTEC HLDG AG INH. EO 1;AT0000A00XX9;000A0JL31;P4N;PYT.VI
KONTRON AG O.N;AT0000A0E9W5;000A0X9EJ;KTN;KTN.DE
WOLFTANK GROUP AG    O.N.;AT0000A25NJ6;000A2PBHR;WAH;WOLF.VI
STEYR MOTORS AG;AT0000A3FW25;000A40TC4;4X0;4X0.DE
OESTERREICH. POST AG;AT0000APOST4;000A0JML5;O3P;POST.VI
BAWAG GROUP AG;AT0000BAWAG2;000A2DYJN;0B2;BG.VI
ADDIKO BANK AG INH.;AT000ADDIKO0;000A2PMK5;ZYE1;ADKO.VI
AGRANA BET.AG INH.;AT000AGRANA3;000A2NB37;AGB2;AGR.VI
FREQUENTIS AG;ATFREQUENT09;000A2PHG5;FQT;FQT.F
VULCAN ENERGY RESOURCES;AU0000066086;000A2PV3A;VUL;VUL.AX
AGEAS SA/NV;BE0974264930;000A1J1DR;FO4N;AGS.BR
ANHEUSER-BUSCH INBEV;BE0974293251;000A2ASUV;1NBA;ABI.BR
UMICORE S.A.;BE0974320526;000A2H5A3;NVJP;UMI.BR
SHELLY GROUP PLC     EO 1;BG1100003166;000A2DGX9;SLYG;
EXPAT BUL.SOFIX UCITS ETF;BG9000011163;000A2ARPV;BGX;
EXPAT CROAT.CROBEX UCITS;BGCROEX03189;000A2JB7C;ECDC;ECDC.DE
EXPAT CZECH PX UCITS ETF;BGCZPX003174;000A2JAG6;CZX;CZX.DE
EXPAT GREECE ASE UC.ETF;BGGRASE06174;000A2JAG9;GRX;GRX.DE
EXPAT HUNG. BUX UCITS ETF;BGHUBUX01189;000A2JB7B;HUBE;HUBE.DE
EXPAT MAC.MBI10 UCITS ETF;BGMACMB06181;000A2JB7E;MKK1;
EXPAT POLAND WIG20 U.ETF;BGPLWIG04173;000A2JAHA;PLX;PLX.DE
EXPAT ROMANIA BET-BK U.E.;BGROBET05176;000A2JAHB;ROX;ROX.DE
EXPAT SLOVAK.SAX UCITS;BGSKSAX04187;000A2JB7H;SK9A;SK9A.DE
EXPAT SLOV.SBI TOP UCITS;BGSLOBI02187;000A2JB7F;SLQX;SLQX.DE
EXPAT SERB.BELEX15 UCITS;BGSRBBE05183;000A2JB7D;ESNB;
ALMONTY INDUSTRIES INC.;CA0203981034;000A1JSSD;ALI;AII.TO
BARRICK GOLD CORP.;CA0679011084;000870450;ABR;ABX.TO
BIONXT SOLUTIONS INC.;CA0909741062;000A3D1K3;BXT;BNXT.CN
FIRST MAJESTIC SILVER;CA32076V1031;000A0LHKJ;FMV;AG.TO
KINROSS GOLD CORP.;CA4969024047;000A0DM94;KIN2;K.TO
SERNOVA BIOTHERAPEUTICS;CA81752F1062;000A411DW;PSH0;SVA.TO
WHEATON PREC. METALS;CA9628791027;000A2DRBP;SII;WPM.TO
HIGHLIGHT CMNCTS INH.SF 1;CH0006539198;000920299;HLG;HLG.DE
BB BIOTECH NAM.   SF 0,20;CH0038389992;000A0NFN3;BBZA;BION.SW
EDAG ENGINEERING G.SF-,04;CH0303692047;000A143NB;ED4;ED4.DE
21SHARES HODL BSK ETP OE;CH0445689208;000A2TT3D;21XH;CH0445689208.SG
SWISSNET AG       SF -,10;CH0451123589;000A2QN5W;81D;MLBMD.PA
21SHARES BITCOIN ETP OE;CH0454664001;000A2T64E;2BTC;CH0454664001.SG
21SHARES BITCOIN ETP OE;CH0454664001;000A2T64E;2BTD;CH0454664001.SG
21SHARES ETHER ETP OE;CH0454664027;000A2T68Z;ETHA;CH0454664027.VI
21SHARES ETHER ETP OE;CH0454664027;000A2T68Z;ETHB;CH0454664027.VI
21SHARES XRP ETP OE;CH0454664043;000A2UBKC;21XP;AXRP.SW
21SHARES BTC CASH ETP OE;CH0475552201;000A2126N;ABCH;ABCH.SW
21SHARES AG ETP.Z O.E.;CH0491507486;000A22J1S;AXTZ;CH0491507486.SG
21SHARES BINANCEBNB ETPOE;CH0496454155;000A22GRU;21XJ;CH0496454155.SG
TMC CONTENT GR.AG NAM.SF1;CH0557519201;000A2QQQU;ERO;CH0557519201.SG
LION E-MOBILITY AG SF-,13;CH0560888270;000A2QH97;LMIA;LMIA.F
21SHARES POLKADOT ETP OE;CH0593331561;000A3GPQM;ADOT;CH0593331561.SG
21SHARES CHAINLINK OE;CH1100083471;000A3GW2C;21XL;CH1100083471.SG
21SHARES CARDANO ADA ETP;CH1102728750;000A3GRTN;ADAA;AADA.SW
21SHARES STELLAR XLM OE;CH1109575535;000A3GRTM;XLME;CH1109575535.SG
21SHARES SOLANA ETP OE;CH1114873776;000A3GSS0;ASOL;CH1114873776.SG
21SHARES POLYGON  ETP OE;CH1129538448;000A3GUQJ;POLY;CH1129538448.SG
21SHARES AVALANCHE ETP OE;CH1135202088;000A3GVVT;V21A;CH1135202088.SG
21SHARES UNISWAP ETP OE;CH1135202096;000A3GW2D;2UNI;CH1135202096.SG
21SHARES HODL BSK ETP OE;CH1135202161;000A3GUMV;H21V;CH1135202161.SG
21SHARES HODL BSK ETP OE;CH1135202179;000A3GUMU;21HX;HODLX.SW
21SHARES BOLD1 INDEX OE;CH1146882308;000A3GYXW;BOLD;CH1146882308.SG
21SHARES ALGORAND ETP OE;CH1146882316;000A3GVVU;ALC0;CH1146882316.SG
HASHDEX AG ETP OE;CH1184151731;000A3GY1V;HDX1;CH1184151731.SG
21SHARES BITCOIN ETP OE;CH1199067674;000A3GZ2Z;21BC;CH1199067674.SG
21SHARES ETH CORE ETP OE;CH1209763130;000A3G04G;ETHC;CH1209763130.SG
21SHARES CRYPTO ETPOE;CH1210548892;000A3G10R;2SKE;CH1210548892.SG
21SHARES CRYPTO ETPOE;CH1210548892;000A3G10R;2SKF;CH1210548892.SG
HASHDEX AG ETP OE;CH1218734544;000A3G1MC;HDXM;HAMO.AS
ISSUANCE.SWISS AG  ETP OE;CH1263519386;000A3G5R3;CFB3;CH1263519386.SG
ISSUANCE.SWISS AG  ETP OE;CH1263519386;000A3G5R3;CFBA;CH1263519386.SG
ISSUANCE.SWISS AG  ETP OE;CH1263519394;000A3G5R2;CFMM;CH1263519394.SG
ISSUANCE.SWISS AG  ETP OE;CH1263519394;000A3G5R2;CFMN;CH1263519394.SG
XTRACKERS BITCOIN OENDETC;CH1315732250;000A4AE1S;XXBT;XXBU.DE
XTRACKERS BITCOIN OENDETC;CH1315732250;000A4AE1S;XXBU;XXBU.DE
XTRACKERS ETHER OENDETC;CH1315732268;000A4AE1T;XETH;XETU.DE
XTRACKERS ETHER OENDETC;CH1315732268;000A4AE1T;XETU;XETU.DE
ISSUANCE.SWISS AG ETP OE;CH1327686031;000A4AE84;FFTH;CH1327686031.SG
ISSUANCE.SWISS AG ETP OE;CH1327686031;000A4AE84;FFTI;CH1327686031.SG
ISSUANCE.SWISS AG ETP OE;CH1327686049;000A4AE85;FSOL;CH1327686049.SG
ISSUANCE.SWISS AG ETP OE;CH1327686049;000A4AE85;FSOM;CH1327686049.SG
ISSUANCE.SWISS AG ETP OE;CH1327686056;000A4AFBK;CSLE;CH1327686056.SG
ISSUANCE.SWISS AG ETP OE;CH1327686056;000A4AFBK;CSLF;CH1327686056.SG
LEON.SEC(GG).O.END ETP Z.;CH1381833420;000A4D5C4;EONR;EONR.DE
21SHARES SOLANA ETP O.END;CH1385084384;000A4AKM2;2SCS;CH1385084384.SG
LEON.SEC(GG).O.END ETP Z.;CH1390861214;000A4D5D2;ONCC;ONCC.DE
LEON.SEC(GG).O.END ETP Z.;CH1390861222;000A4D5D3;ONCE;
LEON.SEC(GG).O.END ETP Z.;CH1390861297;000A4D5D5;ONUU;ONUU.DE
LEON.SEC(GG).O.END ETP Z.;CH1390861305;000A4D5D6;ONUE;ONUE.DE
LEON.SEC(GG).ETP O.END;CH1390861313;000A4D5D7;FW50;
MULTITUDE AG  EO 1,85;CH1398992755;000A40VJN;MULT;0R4W.L
HAIER SMART HOME CO.D YC1;CNE1000031C1;000A2JM2W;690D;690D.DE
DK DAX;DE000ETFL011;000ETFL01;EL4A;EL4A.DE
DK DAX (AUSSCHUETTEND);DE000ETFL060;000ETFL06;EL4F;EL4F.DE
DK DAXPLUS MAX.DIVIDEND;DE000ETFL235;000ETFL23;EL4X;EL4X.DE
DK DAX EX FINANCIALS 30;DE000ETFL433;000ETFL43;ELF0;ELF0.DE
AMUNDI-A.DIVDAX2 U.E.DIST;DE000ETF9033;000ETF903;E903;
ISHARES DIVDAX UCITS ETF;DE0002635273;000263527;EXSB;EXSB.DE
ISHS CORE DAX UC.ETF EOA;DE0005933931;000593393;EXS1;
MUF-AMU.SHDAX-2X INV.UE A;FR0010869495;000LYX0FV;LYQL;DSD.PA
MUL AMUN DAX III ETF ACC;LU0252633754;000LYX0AC;LYY7;LYY7.DE
MUL AMUN LEVDAX ETF ACC;LU0252634307;000LYX0AD;LYY8;LVD.PA
XTR.DAX 1C;LU0274211480;000DBX1DA;DBXD;DBXD.DE
XTR.SHORTDAX DAILY SW. 1C;LU0292106241;000DBX1DS;DXSN;DXSN.DE
XTR.SHORTDAX X2 DA.SW. 1C;LU0411075020;000DBX0BY;DBPD;XSD2.L
XTR.LEVDAX DA.SWAP 1C;LU0411075376;000DBX0BZ;DBPE;XLDX.L
XTR.DAX ESG SCR.1D;LU0838782315;000DBX0NH;XDDX;XDDX.DE
VANGUARD-V.GER.A.CAP EOD;IE00BG143G97;000A2JF6S;VGER;VGER.DE
L+G-L+G DAX DAILY 2X LONG;IE00B4QNHH68;000A0X895;DEL2;DL2P.L
L+G-L+G DAX D.2X SHORT;IE00B4QNHZ41;000A0X896;DES2;DS2P.L
AMUNDI-A.DAX50ESG2 UE DIS;DE000ETF9090;000ETF909;E909;E909.DE
MUL AMUN DAX III ETF DIST;LU2090062436;000LYX04A;LDAX;DAXD.SW
MUL AMUN LEVDAX ETF DIST;LU2090062600;000LYX04V;LVDX;LU2090062600.SG
ISHS CORE DAX UC.ETF EOD;DE000A2QP331;000A2QP33;EXIC;EXIC.DE
XTR.DAX 1D;LU1349386927;000DBX0QB;XDDA;LU1349386927.SG
AIS-SHDDA1XIN U.ETFEOD;LU2572257041;000ETF017;AHYK;AHYK.DE
AIS AMUNDI DIVDAX ETF D;LU2611731741;000ETF193;C003;LU2611731741.SG
AIS AMUNDI DAX ETF DIST;LU2611732046;000ETF200;C001;C001.DE
HELIAD AG   NA O.N.;DE0001218063;000121806;A7A;A7A.DE
B+S BANKSYSTEME AG O.N.;DE0001262152;000126215;DTD2;DTD2.DE
ERLEBNIS AKADEMIE AG;DE0001644565;000164456;EAD;EAD.F
ISHARES PFANDBRIEFE U.ETF;DE0002635265;000263526;EXHE;
ISH.S.EU.SEL.DIV.30 U.ETF;DE0002635299;000263529;EXSH;EXSH.DE
ISH.STOX.EUROPE 600 U.ETF;DE0002635307;000263530;EXSA;EXSA.DE
BAADER BANK AG;DE0005088108;000508810;BWB;BWB.DE
UTD.INTERNET AG NA;DE0005089031;000508903;UTDI;UTDI.DE
AMADEUS FIRE AG;DE0005093108;000509310;AAD;AAD.DE
BASLER AG O.N.;DE0005102008;000510200;BSL;BSL.DE
ADTRAN NETW.SE INH O.N.;DE0005103006;000510300;ADV;ADV.DE
ATOSS SOFTWARE SE INH O.N;DE0005104400;000510440;AOF;AOF.DE
SYZYGY AG O.N.;DE0005104806;000510480;SYZ;SYZ.DE
ALL FOR ONE GROUP NA O.N.;DE0005110001;000511000;A1OS;A1OS.DE
11 88 0 SOLUTIONS AG;DE0005118806;000511880;TGT;TGT.DE
RUBEAN O.N.;DE0005120802;000512080;R1B;R1B.MU
Q.BEYOND AG NA O.N.;DE0005137004;000513700;QBY;QBY.DE
DEUTSCHE BANK AG NA O.N.;DE0005140008;000514000;DBK;DBK.DE
DELTICOM AG  NA O.N.;DE0005146807;000514680;DEX;DEX.DE
SCHWEIZER ELECTR. NA O.N.;DE0005156236;000515623;SCE;SCE.DE
DR. HOENLE AG O.N.;DE0005157101;000515710;HNL;HNL.DE
BECHTLE AG O.N.;DE0005158703;000515870;BC8;BC8.DE
3U HOLDING AG;DE0005167902;000516790;UUU;UUU.DE
SURTECO GROUP SE INH O.N.;DE0005176903;000517690;SUR;SUR.DE
SOFTING AG O.N.;DE0005178008;000517800;SYT;SYT.DE
WENG FINE ART AG NA O.N.;DE0005181606;000518160;WFA;WFA.MU
BAY.MOTOREN WERKE AG ST;DE0005190003;000519000;BMW;BMW.DE
BAY.MOTOREN WERKE  VZO;DE0005190037;000519003;BMW3;BMW3.DE
BAYWA AG   NA O.N.;DE0005194005;000519400;BYW;BYW.DE
BAYWA AG VINK.NA. O.N.;DE0005194062;000519406;BYW6;BYW6.DE
LUDW.BECK A.RATHAUSECK;DE0005199905;000519990;ECK;ECK.DE
BEIERSDORF AG O.N.;DE0005200000;000520000;BEI;BEI.DE
BERENTZEN-GRP.AG;DE0005201602;000520160;BEZ;BEZ.DE
QUIRIN PRIVATBK  O.N.;DE0005202303;000520230;QB7;QB7.DE
BRAIN BIOTEC  NA O.N.;DE0005203947;000520394;BNN;BNN.F
ARTEC TECHNOLOGIES O.N.;DE0005209589;000520958;A6T;A6T.F
MOBOTIX AG O.N.;DE0005218309;000521830;MBQ;MBQ.F
ENBW ENERGIE BAD.-WUE. ON;DE0005220008;000522000;EBK;EBK.DE
NEXUS AG O.N.;DE0005220909;000522090;NXU;NXU.DE
BIOTEST AG ST O.N.;DE0005227201;000522720;BIO;BIO.DE
BIOTEST AG VZ O.N.;DE0005227235;000522723;BIO3;BIO3.F
ORBIS SE INH O.N.;DE0005228779;000522877;OBS;OBS.DE
BIJOU BRIGITTE O.N.;DE0005229504;000522950;BIJ;BIJ.F
BERTRANDT AG O.N.;DE0005232805;000523280;BDT;BDT.F
ENERGIEKONTOR O.N.;DE0005313506;000531350;EKT;EKT.DE
CARL ZEISS MEDITEC AG;DE0005313704;000531370;AFX;AFX.DE
CEWE STIFT.KGAA  O.N.;DE0005403901;000540390;CWC;CWC.F
CENIT AG O.N.;DE0005407100;000540710;CSH;CSH.DE
CEOTRONICS AG O.N.;DE0005407407;000540740;CEK;CEK.F
OEKOWORLD AG VZNA O.N.;DE0005408686;000540868;VVV3;VVV3.DE
CANCOM SE O.N.;DE0005419105;000541910;COK;COK.DE
CONTINENTAL AG O.N.;DE0005439004;000543900;CON;CON.DE
CTS EVENTIM KGAA;DE0005470306;000547030;EVD;EVD.DE
LANXESS AG;DE0005470405;000547040;LXS;LXS.DE
VARENGOLD BANK AG;DE0005479307;000547930;VG8;VG8.DE
UNITED LABELS O.N.;DE0005489561;000548956;ULC;ULC.DE
MASTERFLEX O.N.;DE0005492938;000549293;MZX;MZX.DE
BORUSSIA DORTMUND;DE0005493092;000549309;BVB;BVB.DE
HYPOPORT SE  NA O.N.;DE0005493365;000549336;HYQ;HYQ.F
GERATHERM O.N.;DE0005495626;000549562;GME;GME.DE
DATA MODUL AG O.N.;DE0005498901;000549890;DAM;DAM.DE
DT.GRUNDST.AUKT.AG;DE0005533400;000553340;DGR;DGR.DE
1+1 AG  INH O.N.;DE0005545503;000554550;1U1;1U1.DE
DRAEGERWERK ST.A.O.N.;DE0005550602;000555060;DRW8;DRW8.DE
DRAEGERWERK VZO O.N.;DE0005550636;000555063;DRW3;DRW3.F
DEUTSCHE POST AG NA O.N.;DE0005552004;000555200;DHL;DHL.DE
DT.TELEKOM AG NA;DE0005557508;000555750;DTE;DTE.DE
PARAGON KGAA  INH O.N.;DE0005558696;000555869;PGN;PGN.DE
DUERR AG O.N.;DE0005565204;000556520;DUE;DUE.DE
UMWELTBANK AG O.N.;DE0005570808;000557080;UBK;UBK.MU
DIERIG HOLDING AG O.N.;DE0005580005;000558000;DIE;DIE.DE
EDEL SE+CO.KGAA INH O.N.;DE0005649503;000564950;EDL;EDL.DE
MEDNATION AG INH O.N.;DE0005653604;000565360;EIF;EIF.F
ECKERT+ZIEGLER  INH O.N.;DE0005659700;000565970;EUZ;EUZ.DE
EVOTEC SE  INH O.N.;DE0005664809;000566480;EVT;EVT.DE
ELMOS SEMICOND. INH O.N.;DE0005677108;000567710;ELG;ELG.DE
LS TELCOM AG;DE0005754402;000575440;LSX;LSX.DE
INIT INNOVATION O.N.;DE0005759807;000575980;IXX;IXX.DE
ABO ENERGY INH O.N.;DE0005760029;000576002;AB9;AB9.DE
SINO AG;DE0005765507;000576550;XTP;XTP.F
FIELMANN GROUP AG O.N.;DE0005772206;000577220;FIE;FIE.DE
FRAPORT AG FFM.AIRPORT;DE0005773303;000577330;FRA;FRA.DE
FORTEC ELEKTRO. O.N.;DE0005774103;000577410;FEV;FEV.DE
FORIS AG;DE0005775803;000577580;FRS;FRS.DE
FRESENIUS SE+CO.KGAA O.N.;DE0005785604;000578560;FRE;FRE.DE
FRESEN.MED.CARE AG INH ON;DE0005785802;000578580;FME;FME.DE
GFT TECHNOLOGIES SE;DE0005800601;000580060;GFT;GFT.DE
DEUTSCHE BOERSE NA O.N.;DE0005810055;000581005;DB1;DB1.DE
ECOTEL COMMUNICATION AG;DE0005854343;000585434;E4C;E4C.DE
MS INDUSTRIE AG;DE0005855183;000585518;MSAG;MSAG.DE
INTICA SYSTEMS INH O.N.;DE0005874846;000587484;IS7;IS7.DE
DMG MORI AG O.N.;DE0005878003;000587800;GIL;GIL.DE
GRAMMER AG O.N.;DE0005895403;000589540;GMM;GMM.DE
BILFINGER SE O.N.;DE0005909006;000590900;GBF;GBF.DE
YOC AG O.N.;DE0005932735;000593273;YOC;YOC.DE
ISHARES MDAX UC.ETF EOA;DE0005933923;000593392;EXS3;EXS3.DE
ISH.STOXX EUROPE 50 U.ETF;DE0005933949;000593394;EXW3;EXW3.DE
ISHARES SLI UCITS ETF DE;DE0005933964;000593396;EXI1;SMIEX.SW
ISHARES TECDAX UC.E.ACC;DE0005933972;000593397;EXS2;EXS2.DE
ISH.S.EUR.LARGE 200 U.ETF;DE0005933980;000593398;EXSC;
ISH.S.EUROP.MID 200 U.ETF;DE0005933998;000593399;EXSD;EXSD.DE
OHB SE   O.N.;DE0005936124;000593612;OHB;OHB.DE
HAWESKO HOLDING  INH O.N.;DE0006042708;000604270;HAW;HAW.DE
MATERNUS-KLI.AG O.N.;DE0006044001;000604400;MAK;MAK.DE
HEIDELBERG MATERIALS O.N.;DE0006047004;000604700;HEI;HEI.DE
HENKEL AG+CO.KGAA ST O.N.;DE0006048408;000604840;HEN;HEN.DE
HENKEL AG+CO.KGAA VZO;DE0006048432;000604843;HEN3;HEN3.DE
HMS BERGBAU AG;DE0006061104;000606110;HMU;HMU.F
COVESTRO AG  O.N.;DE0006062144;000606214;1COV;1COV.DE
HOCHTIEF AG;DE0006070006;000607000;HOT;HOT.DE
HORNBACH HOLD.ST O.N.;DE0006083405;000608340;HBH;HBH.F
INDUS HOLDING AG;DE0006200108;000620010;INH;INH.F
FRIWO AG O.N.;DE0006201106;000620110;CEA;CEA.DE
SALZGITTER AG O.N.;DE0006202005;000620200;SZG;SZG.DE
MVISE AG O.N.;DE0006204589;000620458;C1V;C1V.DE
KAP AG  INH O.N.;DE0006208408;000620840;IUR;IUR.F
MUELLER-LILA LOG. INH ON;DE0006214687;000621468;MLL;MLL.DE
JUNGHEINRICH AG O.N.VZO;DE0006219934;000621993;JUN3;JUN3.F
PROCREDIT HLDG AG NA EO 5;DE0006223407;000622340;PCZ;PCZ.DE
INTERTAINMENT AG INH O.N.;DE0006223605;000622360;ITN;ITN.F
INFINEON TECH.AG NA O.N.;DE0006231004;000623100;IFX;IFX.DE
OVB HOLDING AG;DE0006286560;000628656;O4B;O4B.DE
ISHS ESTXX BNKS.30-15 D;DE0006289309;000628930;EXX1;EXX1.DE
IS.DJ GLOB.TITAN.50 U.ETF;DE0006289382;000628938;EXI2;EXI2.DE
IS.DJ INDUST.AVERAG.U.ETF;DE0006289390;000628939;EXI3;EXI3.DE
ISH.EB.REXX GOV.GER.U.ETF;DE0006289465;000628946;EXHA;EXHA.DE
I.EB.R.G.G.1.5-2.5Y UEEOD;DE0006289473;000628947;EXHB;EXHB.DE
I.EB.R.GO.G.2.5-5.5 U.ETF;DE0006289481;000628948;EXHC;EXHC.DE
I.EB.R.G.G.5.5-10.5 U.ETF;DE0006289499;000628949;EXHD;EXHD.DE
KSB SE+CO.KGAA  ST O.N.;DE0006292006;000629200;KSB;KSB.DE
KSB SE+CO.KGAA VZO O.N.;DE0006292030;000629203;KSB3;KSB3.DE
DEUTZ AG O.N.;DE0006305006;000630500;DEZ;DEZ.DE
KRONES AG O.N.;DE0006335003;000633500;KRN;KRN.DE
LPKF LASER+ELECTR.INH ON;DE0006450000;000645000;LPK;LPK.DE
NEMETSCHEK SE O.N.;DE0006452907;000645290;NEM;NEM.DE
LEIFHEIT AG O.N.;DE0006464506;000646450;LEI;LEI.DE
ALBIS LEASING AG O.N.;DE0006569403;000656940;ALG;ALG.DE
MLP SE  INH. O.N.;DE0006569908;000656990;MLP;MLP.DE
NANOREPRO AG;DE0006577109;000657710;NN6;NN6.F
KHD HUMBOLDT WEDAG O.N.;DE0006578008;000657800;KWG;KWG.DE
MENSCH UND MASCH.O.N.;DE0006580806;000658080;MUM;MUM.DE
MEDICLIN AG;DE0006595101;000659510;MED;MED.DE
MERCK KGAA O.N.;DE0006599905;000659990;MRK;MRK.DE
GEA GROUP AG;DE0006602006;000660200;G1A;G1A.DE
CHAPTERS GROUP INH O.N.;DE0006618309;000661830;CHG;CHG.DE
MUEHLBAUER HOLD.AG O.N.;DE0006627201;000662720;MUB;MUB.DE
AURUBIS AG;DE0006766504;000676650;NDA;NDA.DE
PFEIFFER VACUUM TECH.O.N.;DE0006916604;000691660;PFV;PFV.DE
SCHERZER U. CO. AG O.N.;DE0006942808;000694280;PZS;PZS.DE
PWO AG  INH O.N.;DE0006968001;000696800;PWO;PWO.F
PUMA SE;DE0006969603;000696960;PUM;PUM.DE
REALTECH AG O.N.;DE0007008906;000700890;RTC;RTC.DE
RATIONAL AG;DE0007010803;000701080;RAA;RAA.DE
RHEINMETALL AG;DE0007030009;000703000;RHM;RHM.DE
RWE AG   INH O.N.;DE0007037129;000703712;RWE;RWE.DE
RHOEN-KLINIKUM O.N.;DE0007042301;000704230;RHK;RHK.DE
KWS SAAT KGAA  INH O.N.;DE0007074007;000707400;KWS;KWS.F
MERCEDES-BENZ GRP NA O.N.;DE0007100000;000710000;MBG;MBG.DE
SAP SE O.N.;DE0007164600;000716460;SAP;SAP.DE
SARTORIUS AG O.N.;DE0007165607;000716560;SRT;SRT.F
SARTORIUS AG VZO O.N.;DE0007165631;000716563;SRT3;SRT3.F
KOENIG + BAUER AG ST O.N.;DE0007193500;000719350;SKB;SKB.DE
FIRST SENSOR AG O.N.;DE0007201907;000720190;SIS;SIS.DE
SNP SCHNEID.-NEUREIT.O.N.;DE0007203705;000720370;SHF;SHF.DE
SCHLOSS WACHENHEIM AG O.N;DE0007229007;000722900;SWA;SWA.DE
SIXT SE ST O.N.;DE0007231326;000723132;SIX2;SIX2.DE
SIXT SE VZO O.N.;DE0007231334;000723133;SIX3;SIX3.DE
SGL CARBON SE O.N.;DE0007235301;000723530;SGL;SGL.DE
SIEMENS AG  NA O.N.;DE0007236101;000723610;SIE;SIE.DE
CECONOMY AG  INH O.N.;DE0007257503;000725750;CEC;CEC.DE
STO SE+CO.KGAA VZO O.N.;DE0007274136;000727413;STO3;STO3.F
SECUNET SECURITY AG O.N.;DE0007276503;000727650;YSN;YSN.DE
SUEDZUCKER AG  O.N.;DE0007297004;000729700;SZU;SZU.DE
HEIDELBERG.DRUCKMA.O.N.;DE0007314007;000731400;HDD;HDD.DE
STINAG STUTTGART INVEST;DE0007318008;000731800;STG;STG.BE
TAKKT AG O.N.;DE0007446007;000744600;TTK;TTK.DE
IVU TRAFFIC TECHN.AG O.N.;DE0007448508;000744850;IVU;IVU.DE
PVA TEPLA AG O.N.;DE0007461006;000746100;TPE;TPE.DE
DEUTSCHE EUROSHOP NA O.N.;DE0007480204;000748020;DEQ;DEQ.DE
STROEER SE + CO. KGAA;DE0007493991;000749399;SAX;SAX.DE
THYSSENKRUPP AG O.N.;DE0007500001;000750000;TKA;TKA.DE
TTL BET.GRDBES.AG INH ON;DE0007501009;000750100;TTO;TTO.F
WASHTEC AG O.N.;DE0007507501;000750750;WSU;WSU.F
UZIN UTZ SE O.N.;DE0007551509;000755150;UZU;UZU.DE
SFC ENERGY AG;DE0007568578;000756857;F3C;F3C.DE
VILLEROY + BOCH AG VZ;DE0007657231;000765723;VIB3;VIB3.F
VOLKSWAGEN AG ST O.N.;DE0007664005;000766400;VOW;VOW.DE
VOLKSWAGEN AG VZO O.N.;DE0007664039;000766403;VOW3;VOW3.DE
VOSSLOH AG O.N.;DE0007667107;000766710;VOS;VOS.DE
DALDRUP+SOEHNE AG;DE0007830572;000783057;4DS;4DS.F
VISCOM SE O.N.;DE0007846867;000784686;V6C;V6C.DE
ELRINGKLINGER AG NA O.N.;DE0007856023;000785602;ZIL2;ZIL2.DE
KLASSIK RADIO AG NA O.N.;DE0007857476;000785747;KA8;KA8.DE
DT.PFANDBRIEFBK AG;DE0008019001;000801900;PBB;PBB.BE
DT.EFF.U.WECH.-BET.G.O.N.;DE0008041005;000804100;EFF;EFF.DE
WUESTENROT+WUERTT.AG O.N.;DE0008051004;000805100;WUW;WUW.DE
MEDONDO HLDG AG INH O.N.;DE0008131350;000813135;AMI;AMI.DE
MERKUR PRIV.BK INH O.N.;DE0008148206;000814820;MBK;MBK.DE
LUFTHANSA AG VNA O.N.;DE0008232125;000823212;LHA;LHA.DE
TAG IMMOBILIEN AG;DE0008303504;000830350;TEG;TEG.DE
HANNOVER RUECK SE NA O.N.;DE0008402215;000840221;HNR1;HNR1.DE
ALLIANZ SE NA O.N.;DE0008404005;000840400;ALV;ALV.DE
MUENCH.RUECKVERS.VNA O.N.;DE0008430026;000843002;MUV2;MUV2.DE
NUERNBERGER BET.AG VNA;DE0008435967;000843596;NBG6;NBG6.DE
JDC GROUP AG O.N.;DE000A0B9N37;000A0B9N3;JDC;JDC.DE
FAMICORD AG;DE000A0BL849;000A0BL84;V3V;V3V.F
NORDEX SE O.N.;DE000A0D6554;000A0D655;NDX1;NDX1.DE
ISHARES EURO STOXX U.ETF;DE000A0D8Q07;000A0D8Q0;EXSI;EXSI.DE
